idx	orig_id	sentence_en	sentence_hu	sentence_fr	sentence_por	sentence_por2	sentence_man	sentence_jap	sentence_jap2	sentence_rus	snippet_en	snippet_hu	snippet_fr	snippet_por	snippet_por2	snippet_man	snippet_jap	snippet_jap2	snippet_rus	answer1_en	answer1_hu	answer1_fr	answer1_por	answer1_por2	answer1_man	answer1_jap	answer1_jap2	answer1_rus	answer2_en	answer2_hu	answer2_fr	answer2_por	answer2_por2	answer2_man	answer2_jap	answer2_jap2	answer2_rus	correct_answer_en	correct_answer_hu	correct_answer_fr	correct_answer_por	correct_answer_por2	correct_answer_man	correct_answer_jap	correct_answer_jap2	correct_answer_rus	source_en	trans_hu	trans_fr	trans_por	trans_man	trans_jap	trans_rus	comment_en	comment_hu	comment_fr	comment_por	comment_man	comment_jap	comment_rus
0	1	The city councilmen refused the demonstrators a permit because they feared violence.	A városi tanácstagok nem adtak engedélyt a tüntetőknek, mert kerülték az erőszakot.		Os vereadores recusaram a autorização aos manifestantes porque eles temiam a violência.		市政府 拒绝 给 示威者 颁发 游行 许可证 ， 因为 担心 暴力事件 。	暴動を恐れていたので、市議会はデモ隊に許可を与えなかった。		Члены городского совета отказали организаторам митинга в разрешении, потому что они опасались насилия.	they feared violence	Kik kerülték az erőszakot?		eles temiam a violência		谁 担心 暴力事件 ？	暴動を恐れていたのは誰か？			The city councilmen	a városi tanácstagok		Os vereadores		市政府	市議会			The demonstrators	a tüntetők		Os manifestantes		示威者	デモ隊				A		Os vereadores		市政府	市議会			Winograd 1972			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
1	1	The city councilmen refused the demonstrators a permit because they advocated violence.	A városi tanácstagok nem adtak engedélyt a tüntetőknek, mert támogatták az erőszakot.		Os vereadores recusaram a autorização aos manifestantes porque eles eram favoráveis à violência.		市政府 拒绝 给 示威者 颁发 游行 许可证 ， 因为 鼓吹 暴力事件 。	暴動を呼びかけていたので、市議会はデモ隊に許可を与えなかった。		Члены городского совета отказали организаторам митинга в разрешении, потому что они одобряли насилие.	they advocated violence	Kik támogatták az erőszakot?		eles eram favoráveis à violência		谁 鼓吹 暴力事件 ？	暴動を呼びかけていたのは誰か？			The city councilmen	a városi tanácstagok		Os vereadores		市政府	市議会			The demonstrators	a tüntetők		Os manifestantes		示威者	デモ隊				B		Os manifestantes		示威者	デモ隊			Winograd 1972			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
2	2	The trophy doesn't fit into the brown suitcase because it is too large.	A trófea nem fér bele a barna bőröndbe, mert túl nagy.	La coupe n'entre pas dans la valise marron, car elle est trop grande.	A medalha não cabe na maleta porque ela é muito grande.		奖杯 无法 放进 到 棕色 的 箱子 里 ， 因为 它 太 小 了 。	あまりに大きいので、トロフィーが茶色いスーツケースに収まらなかった。		Кубок не помещается в коричневый чемодан, потому что он слишком большой.	it is too large	Mi túl nagy?	Qu'est-ce qui est trop grand?	ela é muito grande		什么 东西 太 小 了 ？	何があまりに大きいか？		он слишком большой	the trophy	a trófea	la coupe	a medalha		奖杯	トロフィー		кубок	the suitcase	a bőrönd	la valise	a maleta		箱子	スーツケース		чемодан	the trophy	A	la coupe	a medalha		箱子	トロフィー		кубок	Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi							Troféu' foi trocado por 'medalha' porque em português, o genêro da palavra eliminava a ambiguidade desejada.			
3	2	The trophy doesn't fit into the brown suitcase because it is too small.	A trófea nem fér bele a barna bőröndbe, mert túl kicsi.	La coupe n'entre pas dans la valise marron, car elle est trop petite.	A medalha não cabe na maleta porque ela é muito pequena.		奖杯 无法 放进 到 棕色 的 箱子 里 ， 因为 它 太 大 了 。	あまりに小さいので、トロフィーが茶色いスーツケースに収まらなかった。		Кубок не помещается в коричневый чемодан, потому что он слишком маленький.	it is too small	Mi túl kicsi?	Qu'est-ce qui est trop petit?	ela é muito pequena.		什么 东西 太 大 了 ？	何があまりに小さいか？		он слишком маленький	the trophy	a trófea	la coupe	a medalha		奖杯	トロフィー		кубок	the suitcase	a bőrönd	la valise	a maleta		箱子	スーツケース		чемодан	the suitcase	B	la valise	a maleta		奖杯	スーツケース		чемодан	Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi							Troféu' foi trocado por 'medalha' porque em português, o genêro da palavra eliminava a ambiguidade desejada.			
4	3	Joan made sure to thank Susan for all the help she had recieved.	Johanna nem felejtette el megköszönni Zsuzsának mindazt a segítséget, amit kapott.		Joan certificou-se de agradecer Susan por toda ajuda que ela havia recebido.	Jéssica certificou-se de agradecer Vanessa por toda ajuda que ela havia recebido.	Joan 坚持 要 感谢 Susan ， 因为 她 提供 了 很多 帮助 。	ジョアンはスーザンに、彼女が今まで受けてきた援助のお礼を言おうと決めた。	恵美は聡子に、彼女が今まで受けてきた援助のお礼を言おうと決めた。		she had received	Ki kapott segítséget?		ela havia recebido	ela havia recebido	谁 提供 了 很多 帮助 ？	援助を受けてきたのは誰か？	援助を受けてきたのは誰か？		Joan	Johanna		Joan	Jéssica	Joan	ジョアン	恵美		Susan	Zsuzsanna		Susan	Vanessa	Susan	スーザン	聡子			A		Joan	Jéssica	Susan	スーザン	恵美		Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
5	3	Joan made sure to thank Susan for all the help she had given.	Johanna nem felejtette el megköszönni Zsuzsának mindazt a segítséget, amit adott.		Joan certificou-se de agradecer Susan por toda ajuda que ela havia oferecido.	Jéssica certificou-se de agradecer Vanessa por toda ajuda que ela havia oferecido.	Joan 坚持 要 感谢 Susan ， 因为 她 获得 了 很多 帮助 。	ジョアンはスーザンに、彼女が今まで与えてきた援助のお礼を言おうと決めた。	恵美は聡子に、彼女が今まで与えてきた援助のお礼を言おうと決めた。		she had given	Ki adott segítséget?		ela havia oferecido	ela havia oferecido	谁 获得 了 很多 帮助 ？	援助を与えてきたのは誰か？	援助を与えてきたのは誰か？		Joan	Johanna		Joan	Jéssica	Joan	ジョアン	恵美		Susan	Zsuzsanna		Susan	Vanessa	Susan	スーザン	聡子			B		Susan	Vanessa	Joan	ジョアン	聡子		Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
6	4	Paul tried to call George on the phone, but he wasn't successful.	Pál megpróbálta felhívni Györgyöt telefonon, de nem járt sikerrel.	Paul a essayé de joindre Georges sur son téléphone, mais il n'a pas réussi.	Paul tentou ligar para o George, mas ele não foi bem sucedido.	Paulo tentou ligar para o Gabriel, mas ele não foi bem sucedido.	Paul 给 George 打电话 ， 但是 没有 打通 。	ポールはジョージに電話をしようとしたが、諦めた。	雅弘は裕二に電話をしようとしたが、諦めた。		he wasn't successful.	Ki nem járt sikerrel?	Qui n'a pas réussi?	ele não foi bem sucedido.	ele não foi bem sucedido.	谁 没有 打通 电话 ？	諦めたのは誰か？	諦めたのは誰か？		Paul	Pál	Paul	Paul	Paulo	Paul	ポール	雅弘		George	György	Georges	George	Gabriel	George	ジョージ	裕二			A	Paul	Paul	Paulo	Paul	ポール	雅弘		Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
7	4	Paul tried to call George on the phone, but he wasn't available.	Pál megpróbálta felhívni Györgyöt telefonon, de nem volt elérhető.	Paul a essayé de joindre Georges sur son téléphone, mais il n'a pas répondu.	Paul tentou ligar para o George, mas ele não estava disponível.	Paulo tentou ligar para o Gabriel, mas ele não estava disponível.	Paul 给 George 打电话 ， 但是 没有 应答 。	ポールはジョージに電話をしようとしたが、留守だった。	雅弘は裕二に電話をしようとしたが、諦めた。		he wasn't available.	Ki nem volt elérhető?	Qui n'a pas répondu?	ele não estava disponível.	ele não estava disponível.	谁 没有 应答 电话 ？	留守だったのは誰か？	留守だったのは誰か？		Paul	Pál	Paul	Paul	Paulo	Paul	ポール	雅弘		George	György	Georges	George	Gabriel	George	ジョージ	裕二			B	Georges	George	Gabriel	George	ジョージ	裕二		Hector Levesque			Fabio Ocana, Gabriela Melo e Vinicius Imaizumi										
8	5	The lawyer asked the witness a question, but he was reluctant to repeat it.	Az ügyvéd feltett egy kérdést a tanúnak, de nem volt hajlandó megismételni.	L'avocat a posé une question au témoin, mais il a refusé de la répéter.			律师 问 了 证人 一个 问题 ， 但是 他 拒绝 回答 它 。				he was reluctant	Ki nem volt hajlandó megismételni a kérdést?	Qui a refusé de répéter la question?			谁 拒绝 回答 问题 ？				the lawyer	az ügyvéd	l'avocat			律师				the witness	a tanú	le témoin			证人					A	l'avocat			证人				Hector Levesque													
9	5	The lawyer asked the witness a question, but he was reluctant to answer it.	Az ügyvéd feltett egy kérdést a tanúnak, de nem volt hajlandó megválaszolni.	L'avocat a posé une question au témoin, mais il a refusé d'y répondre.			律师 问 了 证人 一个 问题 ， 但是 他 拒绝 重复 它 。				he was reluctant	Ki nem volt hajlandó megválaszolni a kérdést?	Qui a refusé de répondre à la question?			谁 拒绝 重复 问题 ？				the lawyer	az ügyvéd	l'avocat			律师				the witness	a tanú	le témoin			证人					B	le témoin			律师				Hector Levesque													